boreholeNo,depth,nValue,rqd
BH-072,24.0,36,4
BH-072,25.5,12,30
BH-072,27.0,1,47
BH-072,28.5,33,54
BH-072,30.0,50,55
BH-072,31.5,4,71
BH-072,33.0,33,37
BH-072,34.5,12,23
BH-072,36.0,40,38
BH-072,37.5,16,2
BH-073,1.5,17,81
BH-073,3.0,43,79
BH-073,4.5,22,17
BH-073,6.0,3,27
BH-073,7.5,5,3
BH-073,9.0,41,35
BH-073,10.5,47,68
BH-073,12.0,3,70
BH-073,13.5,13,89
BH-073,15.0,34,61
BH-073,16.5,28,81
BH-073,18.0,49,91
BH-073,19.5,13,78
BH-073,21.0,9,52
BH-073,22.5,21,33
BH-073,24.0,30,24
BH-073,25.5,40,39
BH-073,27.0,1,57
BH-073,28.5,25,72
BH-073,30.0,49,16
BH-073,31.5,20,95
BH-073,33.0,25,69
BH-073,34.5,27,59
BH-073,36.0,13,66
BH-073,37.5,22,96
BH-073,39.0,9,40
BH-073,40.5,43,24
BH-074,1.5,15,71
BH-074,3.0,9,78
BH-074,4.5,20,33
BH-074,6.0,23,24
BH-074,7.5,37,70
BH-074,9.0,30,19
BH-074,10.5,25,13
BH-074,12.0,6,58
BH-074,13.5,12,14
BH-074,15.0,39,63
BH-074,16.5,5,38
BH-074,18.0,42,5
BH-074,19.5,47,79
BH-074,21.0,18,45
BH-074,22.5,49,45
BH-074,24.0,38,39
BH-074,25.5,17,21
BH-074,27.0,28,5
BH-074,28.5,31,67
BH-074,30.0,42,17
BH-074,31.5,19,44
BH-074,33.0,7,59
BH-074,34.5,7,48
BH-074,36.0,25,100
BH-074,37.5,5,1
BH-074,39.0,29,5
BH-074,40.5,50,29
BH-074,42.0,48,89
BH-074,43.5,32,28
BH-074,45.0,13,31
BH-074,46.5,7,24
BH-074,48.0,27,10
BH-074,49.5,2,97
BH-074,51.0,23,40
BH-074,52.5,16,41
BH-074,54.0,21,97
BH-074,55.5,48,48
BH-075,1.5,11,84
BH-075,3.0,18,24
BH-075,4.5,3,96
BH-075,6.0,38,73
BH-075,7.5,42,47
BH-075,9.0,43,48
BH-075,10.5,38,41
BH-075,12.0,12,48
BH-075,13.5,24,82
BH-075,15.0,10,29
BH-075,16.5,34,1
BH-075,18.0,15,76
BH-075,19.5,19,83
BH-075,21.0,42,27
BH-075,22.5,38,73
BH-075,24.0,7,47
BH-075,25.5,34,18
BH-075,27.0,18,82
BH-075,28.5,3,11
BH-075,30.0,13,9
BH-075,31.5,29,35
BH-075,33.0,31,12
BH-075,34.5,32,61
BH-075,36.0,12,79
BH-075,37.5,22,45
BH-075,39.0,35,72
BH-075,40.5,44,38
BH-075,42.0,16,6
BH-075,43.5,46,5
BH-075,45.0,36,68
BH-075,46.5,40,43
BH-075,48.0,3,97
BH-075,49.5,48,26
BH-075,51.0,43,82
BH-075,52.5,2,83
BH-075,54.0,50,97
BH-075,55.5,2,38
BH-076,1.5,25,85
BH-076,3.0,42,28
BH-076,4.5,2,39
BH-076,6.0,17,77
BH-076,7.5,16,79
BH-076,9.0,14,27
BH-076,10.5,46,11
BH-076,12.0,29,48
BH-076,13.5,36,73
BH-076,15.0,42,31
BH-076,16.5,10,54
BH-076,18.0,26,35
BH-076,19.5,12,97
BH-076,21.0,20,27
BH-076,22.5,12,86
BH-076,24.0,32,24
BH-076,25.5,12,97
BH-076,27.0,27,29
BH-076,28.5,10,38
BH-076,30.0,42,56
BH-076,31.5,17,16
BH-076,33.0,19,31
BH-076,34.5,20,66
BH-076,36.0,42,0
BH-076,37.5,41,22
BH-076,39.0,12,21
BH-076,40.5,3,53
BH-076,42.0,33,71
BH-076,43.5,45,94
BH-076,45.0,48,71
BH-076,46.5,27,88
BH-076,48.0,19,33
BH-076,49.5,9,7
BH-077,1.5,35,5
BH-077,3.0,14,39
BH-077,4.5,13,72
BH-077,6.0,41,10
BH-077,7.5,10,95
BH-077,9.0,28,66
BH-077,10.5,46,72
BH-077,12.0,29,33
BH-077,13.5,30,0
BH-077,15.0,22,22
BH-077,16.5,3,81
BH-077,18.0,7,73
BH-077,19.5,27,18
BH-077,21.0,46,90
BH-077,22.5,36,25
BH-077,24.0,5,30
BH-077,25.5,45,13
BH-077,27.0,46,84
BH-077,28.5,15,43
BH-077,30.0,3,1
BH-077,31.5,38,57
BH-077,33.0,17,70
BH-077,34.5,14,84
BH-077,36.0,40,76
BH-077,37.5,35,33
BH-077,39.0,22,30
BH-077,40.5,32,7
BH-077,42.0,36,15
BH-077,43.5,22,44
BH-077,45.0,43,19
BH-077,46.5,20,45
BH-077,48.0,4,35
BH-077,49.5,2,86
BH-077,51.0,39,1
BH-077,52.5,12,95
BH-077,54.0,37,81
BH-078,1.5,12,23
BH-078,3.0,38,59
BH-078,4.5,41,30
BH-078,6.0,43,55
BH-078,7.5,40,50
BH-078,9.0,35,90
BH-078,10.5,24,58
BH-078,12.0,2,8
BH-078,13.5,38,2
BH-078,15.0,45,30
BH-078,16.5,19,89
BH-078,18.0,50,23
BH-078,19.5,16,8
BH-078,21.0,42,93
BH-078,22.5,36,48
BH-078,24.0,27,80
BH-078,25.5,39,79
BH-078,27.0,25,92
BH-078,28.5,15,92
BH-078,30.0,39,73
BH-078,31.5,48,6
BH-078,33.0,30,63
BH-078,34.5,40,90
BH-078,36.0,2,61
BH-078,37.5,22,39
BH-079,1.5,16,2
BH-079,3.0,7,62
BH-079,4.5,10,59
BH-079,6.0,12,8
BH-079,7.5,8,4
BH-079,9.0,49,50
BH-079,10.5,1,65
BH-079,12.0,11,81
BH-079,13.5,44,1
BH-079,15.0,33,39
BH-079,16.5,35,99
BH-079,18.0,43,65
BH-079,19.5,20,87
BH-079,21.0,34,9
BH-079,22.5,46,53
BH-079,24.0,5,59
BH-079,25.5,49,49
BH-079,27.0,24,21
BH-079,28.5,37,18
BH-079,30.0,8,14
BH-079,31.5,10,96
BH-079,33.0,8,4
BH-079,34.5,35,84
BH-079,36.0,30,8
BH-079,37.5,48,78
BH-079,39.0,15,59
BH-079,40.5,13,10
BH-079,42.0,37,20
BH-079,43.5,8,68
BH-079,45.0,8,17
BH-079,46.5,9,42
BH-079,48.0,20,71
BH-079,49.5,22,9
BH-080,1.5,31,6
BH-080,3.0,43,75
BH-080,4.5,35,60
BH-080,6.0,21,11
BH-080,7.5,47,27
BH-080,9.0,17,96
BH-080,10.5,33,29
BH-080,12.0,9,66
BH-080,13.5,12,22
BH-080,15.0,45,86
BH-080,16.5,34,87
BH-080,18.0,26,66
BH-080,19.5,24,46
BH-080,21.0,25,85
BH-080,22.5,19,94
BH-080,24.0,13,51
BH-080,25.5,45,7
BH-080,27.0,37,30
BH-080,28.5,43,61
BH-080,30.0,42,93
BH-080,31.5,50,79
BH-080,33.0,24,57
BH-080,34.5,2,31
BH-080,36.0,39,2
BH-080,37.5,49,97
BH-081,1.5,39,98
BH-081,3.0,38,73
BH-081,4.5,11,36
BH-081,6.0,45,3
BH-081,7.5,8,45
BH-081,9.0,38,10
BH-081,10.5,11,29
BH-081,12.0,35,5
BH-081,13.5,31,83
BH-081,15.0,9,34
BH-081,16.5,7,84
BH-081,18.0,16,96
BH-081,19.5,26,30
BH-081,21.0,20,27
BH-081,22.5,2,62
BH-081,24.0,21,18
BH-081,25.5,21,44
BH-081,27.0,21,9
BH-081,28.5,42,33
BH-081,30.0,3,63
BH-081,31.5,43,100
BH-081,33.0,42,14
BH-081,34.5,25,6
BH-081,36.0,23,4
BH-081,37.5,34,80
BH-081,39.0,15,51
BH-081,40.5,8,28
BH-081,42.0,6,49
BH-081,43.5,33,3
BH-081,45.0,1,59
BH-081,46.5,1,86
BH-081,48.0,12,75
BH-081,49.5,1,43
BH-081,51.0,7,21
BH-081,52.5,33,35
BH-081,54.0,31,74
BH-081,55.5,34,50
BH-081,57.0,4,4
BH-081,58.5,29,73
BH-082,1.5,30,34
BH-082,3.0,46,47
BH-082,4.5,42,27
BH-082,6.0,42,8
BH-082,7.5,38,59
BH-082,9.0,48,10
BH-082,10.5,32,33
BH-082,12.0,37,40
BH-082,13.5,35,22
BH-082,15.0,10,68
BH-082,16.5,34,54
BH-082,18.0,34,97
BH-082,19.5,1,62
BH-082,21.0,38,54
BH-082,22.5,20,17
BH-082,24.0,33,14
BH-082,25.5,17,30
BH-082,27.0,49,3
BH-082,28.5,1,81
BH-082,30.0,46,35
BH-082,31.5,48,9
BH-082,33.0,22,92
BH-082,34.5,44,21
BH-082,36.0,7,52
BH-082,37.5,2,92
BH-082,39.0,35,86
BH-082,40.5,13,97
BH-082,42.0,13,22
BH-082,43.5,19,0
BH-082,45.0,27,41
BH-082,46.5,29,64
BH-082,48.0,28,36
BH-082,49.5,41,50
BH-083,1.5,43,98
BH-083,3.0,12,87
BH-083,4.5,50,74
BH-083,6.0,27,39
BH-083,7.5,15,39
BH-083,9.0,44,20
BH-083,10.5,40,65
BH-083,12.0,24,54
BH-083,13.5,22,99
BH-083,15.0,5,76
BH-083,16.5,37,76
BH-083,18.0,13,57
BH-083,19.5,4,86
BH-083,21.0,11,66
BH-083,22.5,42,93
BH-083,24.0,32,62
BH-083,25.5,36,94
BH-083,27.0,9,4
BH-083,28.5,5,2
BH-083,30.0,1,78
BH-083,31.5,2,59
BH-083,33.0,25,4
BH-083,34.5,30,57
BH-083,36.0,42,69
BH-083,37.5,36,48
BH-083,39.0,40,93
BH-083,40.5,47,73
BH-083,42.0,50,4
BH-083,43.5,30,65
BH-083,45.0,50,56
BH-083,46.5,45,65
BH-083,48.0,45,33
BH-083,49.5,14,85
BH-083,51.0,28,27
BH-084,1.5,9,94
BH-084,3.0,18,98
BH-084,4.5,40,15
BH-084,6.0,38,73
BH-084,7.5,45,36
BH-084,9.0,35,29
BH-084,10.5,14,61
BH-084,12.0,24,91
BH-084,13.5,15,43
BH-084,15.0,3,33
BH-084,16.5,17,63
BH-084,18.0,5,71
BH-084,19.5,14,4
BH-084,21.0,44,13
BH-084,22.5,19,2
BH-084,24.0,38,52
BH-084,25.5,10,0
BH-084,27.0,29,87
BH-084,28.5,43,66
BH-084,30.0,45,83
BH-085,1.5,45,87
BH-085,3.0,43,1
BH-085,4.5,34,8
BH-085,6.0,47,7
BH-085,7.5,44,58
BH-085,9.0,17,52
BH-085,10.5,5,18
BH-085,12.0,1,75
BH-085,13.5,16,12
BH-085,15.0,8,82
BH-085,16.5,28,11
BH-085,18.0,3,78
BH-085,19.5,9,19
BH-085,21.0,21,79
BH-085,22.5,34,52
BH-085,24.0,17,15
BH-085,25.5,18,86
BH-085,27.0,41,39
BH-085,28.5,22,92
BH-085,30.0,47,63
BH-085,31.5,9,77
BH-085,33.0,42,51
BH-085,34.5,9,54
BH-085,36.0,4,95
BH-085,37.5,3,62
BH-085,39.0,23,8
BH-085,40.5,34,0
BH-085,42.0,46,33
BH-086,1.5,42,17
BH-086,3.0,48,2
BH-086,4.5,7,84
BH-086,6.0,41,62
BH-086,7.5,21,16
BH-086,9.0,39,94
BH-086,10.5,24,13
BH-086,12.0,12,37
BH-086,13.5,9,13
BH-086,15.0,2,83
BH-086,16.5,11,19
BH-086,18.0,46,56
BH-086,19.5,38,9
BH-086,21.0,15,4
BH-086,22.5,24,60
BH-086,24.0,34,7
BH-086,25.5,50,23
BH-086,27.0,11,60
BH-086,28.5,38,46
BH-086,30.0,25,2
BH-086,31.5,27,50
BH-086,33.0,16,87
BH-086,34.5,28,17
BH-086,36.0,17,17
BH-086,37.5,40,42
BH-086,39.0,28,71
BH-086,40.5,33,6
BH-086,42.0,42,69
BH-086,43.5,38,51
BH-087,1.5,6,89
BH-087,3.0,18,40
BH-087,4.5,11,27
BH-087,6.0,43,26
BH-087,7.5,17,36
BH-087,9.0,50,47
BH-087,10.5,6,25
BH-087,12.0,41,49
BH-087,13.5,25,1
BH-087,15.0,45,89
BH-087,16.5,32,16
BH-087,18.0,45,93
BH-087,19.5,2,71
BH-087,21.0,22,36
BH-087,22.5,5,22
BH-087,24.0,3,26
BH-087,25.5,35,83
BH-087,27.0,36,39
BH-087,28.5,19,98
BH-087,30.0,34,81
BH-087,31.5,35,0
BH-087,33.0,36,78
BH-087,34.5,18,28
BH-087,36.0,3,50
BH-087,37.5,22,84
BH-087,39.0,25,64
BH-087,40.5,26,59
BH-087,42.0,5,75
BH-087,43.5,4,96
BH-087,45.0,21,73
BH-087,46.5,29,47
BH-087,48.0,9,93
BH-087,49.5,41,1
BH-087,51.0,49,35
BH-088,1.5,32,53
BH-088,3.0,44,23
BH-088,4.5,36,26
BH-088,6.0,3,35
BH-088,7.5,7,56
BH-088,9.0,41,83
BH-088,10.5,34,50
BH-088,12.0,26,46
BH-088,13.5,28,10
BH-088,15.0,8,36
BH-088,16.5,41,22
BH-088,18.0,6,91
BH-088,19.5,11,16
BH-088,21.0,17,48
BH-088,22.5,34,17
BH-088,24.0,29,42
BH-088,25.5,36,88
BH-088,27.0,13,49
BH-088,28.5,41,57
BH-088,30.0,21,78
BH-088,31.5,16,7
BH-088,33.0,10,31
BH-089,1.5,48,11
BH-089,3.0,1,18
BH-089,4.5,21,99
BH-089,6.0,14,0
BH-089,7.5,28,30
BH-089,9.0,17,28
BH-089,10.5,7,34
BH-089,12.0,33,62
BH-089,13.5,29,25
BH-089,15.0,6,15
BH-089,16.5,23,26
BH-089,18.0,5,81
BH-089,19.5,16,23
BH-089,21.0,36,2
BH-089,22.5,20,15
BH-089,24.0,1,82
BH-089,25.5,45,51
BH-089,27.0,20,86
BH-089,28.5,31,6
BH-089,30.0,16,86
BH-089,31.5,9,23
BH-090,1.5,49,42
BH-090,3.0,49,47
BH-090,4.5,13,41
BH-090,6.0,33,26
BH-090,7.5,22,14
BH-090,9.0,20,37
BH-090,10.5,15,13
BH-090,12.0,2,50
BH-090,13.5,34,20
BH-090,15.0,20,13
BH-090,16.5,32,63
BH-090,18.0,33,93
BH-090,19.5,27,75
BH-090,21.0,49,33
BH-090,22.5,9,73
BH-090,24.0,50,9
BH-090,25.5,13,63
BH-090,27.0,31,93
BH-090,28.5,34,11
BH-090,30.0,42,29
BH-090,31.5,46,46
BH-090,33.0,1,69
BH-090,34.5,46,95
BH-091,1.5,9,96
BH-091,3.0,46,7
BH-091,4.5,10,52
BH-091,6.0,29,80
BH-091,7.5,19,16
BH-091,9.0,32,10
BH-091,10.5,17,67
BH-091,12.0,23,84
BH-091,13.5,29,47
BH-091,15.0,45,75
BH-091,16.5,40,85
BH-091,18.0,18,15
BH-091,19.5,7,28
BH-091,21.0,25,56
BH-091,22.5,37,94
BH-091,24.0,15,6
BH-091,25.5,14,55
BH-091,27.0,6,36
BH-091,28.5,45,76
BH-091,30.0,45,92
BH-091,31.5,19,61
BH-091,33.0,17,40
BH-091,34.5,31,64
BH-091,36.0,47,53
BH-091,37.5,27,49
BH-091,39.0,32,24
BH-091,40.5,33,67
BH-091,42.0,26,46
BH-091,43.5,19,40
BH-091,45.0,42,75
BH-092,1.5,21,54
BH-092,3.0,17,18
BH-092,4.5,35,3
BH-092,6.0,4,97
BH-092,7.5,18,92
BH-092,9.0,32,26
BH-092,10.5,9,3
BH-092,12.0,38,17
BH-092,13.5,22,77
BH-092,15.0,2,15
BH-092,16.5,27,1
BH-092,18.0,1,97
BH-092,19.5,48,17
BH-092,21.0,35,88
BH-092,22.5,7,95
BH-092,24.0,18,72
BH-092,25.5,18,35
BH-092,27.0,44,97
BH-092,28.5,44,7
BH-092,30.0,50,10
BH-092,31.5,36,74
BH-092,33.0,1,29
BH-092,34.5,13,83
BH-092,36.0,34,84
BH-092,37.5,4,50
BH-092,39.0,30,13
BH-092,40.5,32,54
BH-093,1.5,47,100
BH-093,3.0,14,96
BH-093,4.5,13,47
BH-093,6.0,45,85
BH-093,7.5,8,30
BH-093,9.0,47,67
BH-093,10.5,22,28
BH-093,12.0,8,48
BH-093,13.5,44,32
BH-093,15.0,12,48
BH-093,16.5,36,87
BH-093,18.0,6,50
BH-093,19.5,31,99
BH-093,21.0,18,38
BH-093,22.5,40,37
BH-093,24.0,31,97
BH-093,25.5,21,63
BH-093,27.0,46,53
BH-093,28.5,5,67
BH-093,30.0,1,76
BH-093,31.5,21,17
BH-093,33.0,15,96
BH-093,34.5,19,76
BH-093,36.0,14,15
BH-093,37.5,22,28
BH-093,39.0,28,49
BH-093,40.5,14,43
BH-093,42.0,14,53
BH-093,43.5,33,70
BH-093,45.0,13,90
BH-093,46.5,23,70
BH-093,48.0,23,39
BH-093,49.5,35,2
BH-093,51.0,25,19
BH-093,52.5,25,28
BH-093,54.0,10,69
BH-093,55.5,39,17
BH-093,57.0,36,99
BH-093,58.5,50,52
BH-094,1.5,42,54
BH-094,3.0,44,6
BH-094,4.5,17,79
BH-094,6.0,42,44
BH-094,7.5,25,1
BH-094,9.0,42,83
BH-094,10.5,14,49
BH-094,12.0,31,67
BH-094,13.5,4,65
BH-094,15.0,27,25
BH-094,16.5,35,43
BH-094,18.0,18,13
BH-094,19.5,17,59
BH-094,21.0,25,23
BH-094,22.5,14,20
BH-094,24.0,7,12
BH-094,25.5,45,48
BH-094,27.0,45,46
BH-094,28.5,29,62
BH-094,30.0,4,13
BH-094,31.5,7,76
BH-094,33.0,4,98
BH-094,34.5,1,37
BH-094,36.0,11,24
BH-094,37.5,15,92
BH-094,39.0,35,79
BH-094,40.5,27,18
BH-094,42.0,13,23
BH-094,43.5,29,100
BH-094,45.0,9,73
BH-094,46.5,39,78
BH-094,48.0,3,94
BH-094,49.5,24,76
BH-094,51.0,32,26
BH-095,1.5,41,100
BH-095,3.0,3,4
BH-095,4.5,47,41
BH-095,6.0,45,78
BH-095,7.5,33,31
BH-095,9.0,48,20
BH-095,10.5,45,44
BH-095,12.0,9,36
BH-095,13.5,40,40
BH-095,15.0,13,22
BH-095,16.5,4,88
BH-095,18.0,41,87
BH-095,19.5,25,25
BH-095,21.0,17,91
BH-095,22.5,48,33
BH-095,24.0,48,42
BH-095,25.5,30,99
BH-095,27.0,36,41
BH-095,28.5,24,94
BH-095,30.0,41,49
BH-095,31.5,47,32
BH-095,33.0,3,59
BH-095,34.5,14,42
BH-095,36.0,11,9
BH-095,37.5,49,3
BH-095,39.0,42,40
BH-095,40.5,5,27
BH-095,42.0,21,33
BH-095,43.5,45,5
BH-095,45.0,11,48
BH-095,46.5,12,94
BH-095,48.0,12,72
BH-095,49.5,4,59
BH-095,51.0,4,47
BH-096,1.5,39,25
BH-096,3.0,48,50
BH-096,4.5,9,56
BH-096,6.0,4,24
BH-096,7.5,16,18
BH-096,9.0,47,77
BH-096,10.5,20,1
BH-096,12.0,7,73
BH-096,13.5,17,14
BH-096,15.0,36,86
BH-096,16.5,23,75
BH-096,18.0,3,45
BH-096,19.5,49,69
BH-096,21.0,27,12
BH-096,22.5,17,11
BH-096,24.0,15,25
BH-096,25.5,36,77
BH-096,27.0,46,12
BH-096,28.5,19,3
BH-096,30.0,41,70
BH-096,31.5,36,0
BH-096,33.0,49,9
BH-096,34.5,37,12
BH-096,36.0,44,100
BH-096,37.5,32,62
BH-096,39.0,11,2
BH-096,40.5,38,16
BH-096,42.0,13,69
BH-096,43.5,38,65
BH-097,1.5,16,23
BH-097,3.0,39,67
BH-097,4.5,20,4
BH-097,6.0,4,100
BH-097,7.5,12,14
BH-097,9.0,18,56
BH-097,10.5,15,85
BH-097,12.0,18,9
BH-097,13.5,41,40
BH-097,15.0,29,97
BH-097,16.5,24,82
BH-097,18.0,40,14
BH-097,19.5,1,88
BH-097,21.0,48,16
BH-097,22.5,23,86
BH-097,24.0,24,55
BH-097,25.5,13,34
BH-097,27.0,42,38
BH-097,28.5,15,65
BH-097,30.0,34,68
BH-097,31.5,19,50
BH-097,33.0,2,62
BH-097,34.5,1,82
BH-097,36.0,12,38
BH-097,37.5,44,17
BH-097,39.0,48,0
BH-097,40.5,22,78
BH-097,42.0,29,93
BH-097,43.5,11,27
BH-097,45.0,31,48
BH-098,1.5,32,19
BH-098,3.0,36,87
BH-098,4.5,47,30
BH-098,6.0,29,20
BH-098,7.5,11,19
BH-098,9.0,21,61
BH-098,10.5,29,68
BH-098,12.0,19,45
BH-098,13.5,41,78
BH-098,15.0,31,5
BH-098,16.5,38,50
BH-098,18.0,17,7
BH-098,19.5,22,57
BH-098,21.0,29,95
BH-098,22.5,39,13
BH-098,24.0,24,98
BH-098,25.5,39,80
BH-098,27.0,35,20
BH-098,28.5,14,75
BH-098,30.0,6,99
BH-098,31.5,29,27
BH-098,33.0,43,39
BH-098,34.5,13,48
BH-099,1.5,12,65
BH-099,3.0,30,80
BH-099,4.5,20,9
BH-099,6.0,4,57
BH-099,7.5,13,8
BH-099,9.0,38,52
BH-099,10.5,37,9
BH-099,12.0,5,85
BH-099,13.5,32,5
BH-099,15.0,2,13
BH-099,16.5,46,8
BH-099,18.0,21,5
BH-099,19.5,34,52
BH-099,21.0,33,55
BH-099,22.5,19,47
BH-099,24.0,36,23
BH-099,25.5,45,29
BH-099,27.0,3,58
BH-099,28.5,16,18
BH-099,30.0,24,44
BH-099,31.5,7,99
BH-099,33.0,3,92
BH-099,34.5,4,43
BH-099,36.0,7,84
BH-099,37.5,31,37
BH-099,39.0,2,50
BH-099,40.5,19,74
BH-100,1.5,24,24
BH-100,3.0,47,57
BH-100,4.5,10,68
BH-100,6.0,1,49
BH-100,7.5,32,42
BH-100,9.0,35,87
BH-100,10.5,43,14
BH-100,12.0,28,80
BH-100,13.5,25,19
BH-100,15.0,36,99
BH-100,16.5,30,72
BH-100,18.0,10,61
BH-100,19.5,6,85
BH-100,21.0,9,93
BH-100,22.5,44,97
BH-100,24.0,1,8
BH-100,25.5,7,100
BH-100,27.0,33,6
BH-100,28.5,19,83
BH-100,30.0,4,30
BH-100,31.5,46,66
BH-100,33.0,40,97
BH-101,1.5,12,23
BH-101,3.0,3,50
BH-101,4.5,10,1
BH-101,6.0,15,99
BH-101,7.5,46,97
BH-101,9.0,32,60
BH-101,10.5,19,60
BH-101,12.0,41,37
BH-101,13.5,30,79
BH-101,15.0,47,30
BH-101,16.5,19,46
BH-101,18.0,43,19
BH-101,19.5,28,12
BH-101,21.0,49,74
BH-101,22.5,14,81
BH-101,24.0,3,7
BH-101,25.5,32,80
BH-101,27.0,34,19
BH-101,28.5,23,79
BH-101,30.0,36,2
BH-101,31.5,2,58
BH-101,33.0,15,85
BH-101,34.5,1,12
BH-101,36.0,21,95
BH-101,37.5,43,18
BH-101,39.0,45,55
BH-101,40.5,45,20
BH-101,42.0,47,5
BH-101,43.5,46,35
BH-101,45.0,19,42
BH-101,46.5,12,69
BH-101,48.0,39,33
BH-101,49.5,36,3
BH-101,51.0,42,44
BH-101,52.5,22,88
BH-101,54.0,42,100
BH-101,55.5,25,62
BH-101,57.0,3,42
BH-102,1.5,31,52
BH-102,3.0,9,5
BH-102,4.5,49,44
BH-102,6.0,22,19
BH-102,7.5,23,68
BH-102,9.0,10,30
BH-102,10.5,17,15
BH-102,12.0,44,74
BH-102,13.5,15,46
BH-102,15.0,8,100
BH-102,16.5,10,99
BH-102,18.0,1,72
BH-102,19.5,1,35
BH-102,21.0,3,61
BH-102,22.5,30,6
BH-102,24.0,49,100
BH-102,25.5,25,83
BH-102,27.0,32,30
BH-102,28.5,23,25
BH-102,30.0,44,75
BH-102,31.5,9,81
BH-102,33.0,29,91
BH-102,34.5,21,98
BH-102,36.0,17,84
BH-102,37.5,33,67
BH-102,39.0,20,86
BH-102,40.5,8,84
BH-102,42.0,25,34
BH-102,43.5,18,64
BH-102,45.0,50,46
BH-102,46.5,11,88
BH-102,48.0,28,97
BH-102,49.5,50,46
BH-102,51.0,29,48
BH-102,52.5,36,21
BH-102,54.0,46,94
BH-102,55.5,10,23
BH-103,1.5,34,13
BH-103,3.0,50,36
BH-103,4.5,35,92
BH-103,6.0,39,76
BH-103,7.5,9,35
BH-103,9.0,32,11
BH-103,10.5,49,21
BH-103,12.0,24,49
BH-103,13.5,48,95
BH-103,15.0,5,7
BH-103,16.5,21,15
BH-103,18.0,16,54
BH-103,19.5,27,59
BH-103,21.0,44,95
BH-103,22.5,18,31
BH-103,24.0,2,51
BH-103,25.5,3,93
BH-103,27.0,14,79
BH-103,28.5,48,52
BH-103,30.0,30,88
BH-103,31.5,28,50
BH-103,33.0,9,47
BH-103,34.5,2,36
BH-103,36.0,24,6
BH-103,37.5,10,17
BH-103,39.0,21,47
BH-103,40.5,25,78
BH-103,42.0,23,32
BH-103,43.5,43,28
BH-103,45.0,23,94
BH-103,46.5,38,90
BH-103,48.0,4,45
BH-103,49.5,31,40
BH-103,51.0,23,66
BH-103,52.5,3,90
BH-103,54.0,24,57
BH-104,1.5,48,24
BH-104,3.0,17,54
BH-104,4.5,32,0
BH-104,6.0,18,15
BH-104,7.5,31,100
BH-104,9.0,1,52
BH-104,10.5,25,95
BH-104,12.0,50,98
BH-104,13.5,27,20
BH-104,15.0,22,31
BH-104,16.5,50,18
BH-104,18.0,16,68
BH-104,19.5,11,65
BH-104,21.0,34,97
BH-104,22.5,27,73
BH-104,24.0,11,23
BH-104,25.5,3,61
BH-104,27.0,18,83
BH-104,28.5,25,23
BH-104,30.0,17,9
BH-104,31.5,17,7
BH-104,33.0,3,99
BH-104,34.5,25,91
BH-104,36.0,27,1
BH-104,37.5,7,23
BH-104,39.0,3,60
BH-104,40.5,28,48
BH-104,42.0,46,28
BH-104,43.5,20,99
BH-104,45.0,28,4
BH-104,46.5,23,28
BH-104,48.0,2,11
BH-104,49.5,42,86
BH-104,51.0,2,96
BH-104,52.5,25,1
BH-104,54.0,7,5
BH-105,1.5,34,59
BH-105,3.0,15,15
BH-105,4.5,49,24
BH-105,6.0,38,11
BH-105,7.5,24,72
BH-105,9.0,24,25
BH-105,10.5,14,70
BH-105,12.0,18,32
BH-105,13.5,5,3
BH-105,15.0,8,47
BH-105,16.5,15,88
BH-105,18.0,16,76
BH-105,19.5,33,61
BH-105,21.0,14,1
BH-105,22.5,25,24
BH-105,24.0,20,85
BH-105,25.5,10,9
BH-105,27.0,9,31
BH-105,28.5,49,55
BH-105,30.0,32,96
BH-105,31.5,14,28
BH-105,33.0,14,13
BH-105,34.5,11,11
BH-105,36.0,46,21
BH-105,37.5,44,18
BH-105,39.0,23,92
BH-105,40.5,36,16
BH-105,42.0,33,13
BH-106,1.5,41,66
BH-106,3.0,19,4
BH-106,4.5,16,12
BH-106,6.0,6,49
BH-106,7.5,18,84
BH-106,9.0,9,89
BH-106,10.5,47,46
BH-106,12.0,45,7
BH-106,13.5,19,44
BH-106,15.0,45,38
BH-106,16.5,7,23
BH-106,18.0,15,15
BH-106,19.5,7,33
BH-106,21.0,12,75
BH-106,22.5,32,42
BH-106,24.0,39,59
BH-106,25.5,26,38
BH-106,27.0,49,84
BH-106,28.5,40,69
BH-106,30.0,29,57
BH-106,31.5,38,64
BH-106,33.0,49,30
BH-106,34.5,15,53
BH-106,36.0,46,90
BH-106,37.5,8,75
BH-106,39.0,20,83
BH-106,40.5,32,3
BH-106,42.0,35,70
BH-106,43.5,41,12
BH-106,45.0,10,39
BH-106,46.5,19,19
BH-106,48.0,46,52
BH-106,49.5,21,25
BH-106,51.0,33,70
BH-106,52.5,45,78
BH-106,54.0,10,91
BH-106,55.5,24,36
BH-106,57.0,12,60
BH-107,1.5,29,88
BH-107,3.0,35,29
BH-107,4.5,11,19
BH-107,6.0,26,100
BH-107,7.5,30,31
BH-107,9.0,9,41
BH-107,10.5,47,40
BH-107,12.0,39,100
BH-107,13.5,41,41
BH-107,15.0,29,57
BH-107,16.5,1,10
BH-107,18.0,24,1
BH-107,19.5,21,86
BH-107,21.0,40,28
BH-107,22.5,35,93
BH-107,24.0,35,82
BH-107,25.5,38,41
BH-107,27.0,30,49
BH-107,28.5,33,85
BH-107,30.0,35,47
BH-107,31.5,46,32
